Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1-10,,,,07-11-2025 13:59:20,07-11-2025 14:04:21,5m - 0.881s,PASSED
,,,,,,,
Test Cases/sa_tc0_uninstall_app,,,,07-11-2025 13:59:21,07-11-2025 13:59:23,1.579s,PASSED
"packageName = ""com.samsung.android.soundassistant""",,,,07-11-2025 13:59:22,07-11-2025 13:59:22,0.011s,PASSED
"checkCommand = ""adb shell pm list packages "" + packageName",,,,07-11-2025 13:59:22,07-11-2025 13:59:22,0.020s,PASSED
checkProcess = getRuntime().exec(checkCommand),,,,07-11-2025 13:59:22,07-11-2025 13:59:22,0.056s,PASSED
checkProcess.waitFor(),,,,07-11-2025 13:59:22,07-11-2025 13:59:22,0.158s,PASSED
checkResult = text,,,,07-11-2025 13:59:22,07-11-2025 13:59:22,0.044s,PASSED
if (checkResult.contains(packageName)),,,,07-11-2025 13:59:22,07-11-2025 13:59:23,0.402s,PASSED
,,,,,,,
Test Cases/sa_tc1,,,,07-11-2025 13:59:23,07-11-2025 14:00:16,53.729s,PASSED
"startExistingApplication(""com.samsung.android.goodlock"")",,,,07-11-2025 13:59:23,07-11-2025 13:59:39,15.986s,PASSED
Thread.sleep(2000),,,,07-11-2025 13:59:39,07-11-2025 13:59:41,2.091s,PASSED
"process = getRuntime().exec(""adb shell input keyevent 187"")",,,,07-11-2025 13:59:41,07-11-2025 13:59:41,0.048s,PASSED
process.waitFor(),,,,07-11-2025 13:59:41,07-11-2025 13:59:41,0.252s,PASSED
Thread.sleep(2000),,,,07-11-2025 13:59:41,07-11-2025 13:59:43,2.016s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Close all""), 0)",,,,07-11-2025 13:59:43,07-11-2025 13:59:45,1.776s,PASSED
process.waitFor(),,,,07-11-2025 13:59:45,07-11-2025 13:59:45,0.004s,PASSED
Thread.sleep(2000),,,,07-11-2025 13:59:45,07-11-2025 13:59:47,2.006s,PASSED
"startExistingApplication(""com.samsung.android.goodlock"")",,,,07-11-2025 13:59:47,07-11-2025 13:59:50,2.783s,PASSED
Thread.sleep(5000),,,,07-11-2025 13:59:50,07-11-2025 13:59:55,5.020s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Plugins (1)""), 2000)",,,,07-11-2025 13:59:55,07-11-2025 13:59:56,1.443s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.TextView - Extensions""), 2000)",,,,07-11-2025 13:59:56,07-11-2025 13:59:58,1.175s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.TextView - Sound Assistant""), 2000)",,,,07-11-2025 13:59:58,07-11-2025 13:59:59,1.138s,PASSED
"swipe(341, 2000, 341, 300)",,,,07-11-2025 13:59:59,07-11-2025 13:59:59,0.641s,PASSED
"swipe(540, 430, 540, 1900)",,,,07-11-2025 13:59:59,07-11-2025 14:00:00,0.613s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - download""), 2000)",,,,07-11-2025 14:00:00,07-11-2025 14:00:01,0.464s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Extensions/android.widget.Button - play""), 120)",,,,07-11-2025 14:00:01,07-11-2025 14:00:14,12.998s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - play""), 2000)",,,,07-11-2025 14:00:14,07-11-2025 14:00:14,0.421s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - Continue""), 2000)",,,,07-11-2025 14:00:14,07-11-2025 14:00:16,1.582s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - Allow""), 2000)",,,,07-11-2025 14:00:16,07-11-2025 14:00:16,0.936s,PASSED
,,,,,,,
Test Cases/sa_tc2,,,,07-11-2025 14:00:16,07-11-2025 14:00:57,40.703s,PASSED
"startExistingApplication(""com.samsung.android.goodlock"")",,,,07-11-2025 14:00:17,07-11-2025 14:00:20,2.657s,PASSED
Thread.sleep(2000),,,,07-11-2025 14:00:20,07-11-2025 14:00:22,2.005s,PASSED
"process = getRuntime().exec(""adb shell input keyevent 187"")",,,,07-11-2025 14:00:22,07-11-2025 14:00:22,0.017s,PASSED
process.waitFor(),,,,07-11-2025 14:00:22,07-11-2025 14:00:22,0.180s,PASSED
Thread.sleep(2000),,,,07-11-2025 14:00:22,07-11-2025 14:00:24,2.018s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Close all""), 0)",,,,07-11-2025 14:00:24,07-11-2025 14:00:26,1.861s,PASSED
process.waitFor(),,,,07-11-2025 14:00:26,07-11-2025 14:00:26,0.013s,PASSED
Thread.sleep(2000),,,,07-11-2025 14:00:26,07-11-2025 14:00:28,2.014s,PASSED
"startExistingApplication(""com.samsung.android.goodlock"")",,,,07-11-2025 14:00:28,07-11-2025 14:00:31,2.939s,PASSED
Thread.sleep(5000),,,,07-11-2025 14:00:31,07-11-2025 14:00:36,5.011s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Plugins (1)""), 2000)",,,,07-11-2025 14:00:36,07-11-2025 14:00:37,1.391s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.TextView - Extensions""), 2000)",,,,07-11-2025 14:00:37,07-11-2025 14:00:38,1.104s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - info app""), 0)",,,,07-11-2025 14:00:38,07-11-2025 14:00:39,1.065s,PASSED
"swipe(540, 430, 540, 1900)",,,,07-11-2025 14:00:39,07-11-2025 14:00:40,0.612s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - more_option""), 0)",,,,07-11-2025 14:00:40,07-11-2025 14:00:43,3.280s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Go to store""), 2000)",,,,07-11-2025 14:00:43,07-11-2025 14:00:45,1.446s,PASSED
pressBack(),,,,07-11-2025 14:00:45,07-11-2025 14:00:47,2.494s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - more_option""), 0)",,,,07-11-2025 14:00:47,07-11-2025 14:00:49,1.535s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.TextView - About""), 0)",,,,07-11-2025 14:00:49,07-11-2025 14:00:52,3.344s,PASSED
"isPresent = waitForElementPresent(findTestObject(""Object Repository/android.widget.TextView - SoundAssistant""), 5, OPTIONAL)",,,,07-11-2025 14:00:52,07-11-2025 14:00:52,0.447s,PASSED
if (isPresent),,,,07-11-2025 14:00:52,07-11-2025 14:00:52,0.083s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button (3)""), 0)",,,,07-11-2025 14:00:52,07-11-2025 14:00:54,1.269s,PASSED
"getText(findTestObject(""Object Repository/Extensions/android.widget.TextView - Uninstall this app""), 0)",,,,07-11-2025 14:00:54,07-11-2025 14:00:55,1.224s,PASSED
pressBack(),,,,07-11-2025 14:00:55,07-11-2025 14:00:55,0.225s,PASSED
Thread.sleep(2000),,,,07-11-2025 14:00:55,07-11-2025 14:00:57,2.016s,PASSED
,,,,,,,
Test Cases/sa_tc3,,,,07-11-2025 14:00:57,07-11-2025 14:01:16,19.036s,PASSED
"startExistingApplication(""com.samsung.android.soundassistant"")",,,,07-11-2025 14:00:57,07-11-2025 14:01:00,2.835s,PASSED
"process = getRuntime().exec(""adb shell input keyevent 187"")",,,,07-11-2025 14:01:00,07-11-2025 14:01:00,0.008s,PASSED
process.waitFor(),,,,07-11-2025 14:01:00,07-11-2025 14:01:00,0.138s,PASSED
Thread.sleep(2000),,,,07-11-2025 14:01:00,07-11-2025 14:01:02,2.021s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Close all""), 0)",,,,07-11-2025 14:01:02,07-11-2025 14:01:04,1.659s,PASSED
process.waitFor(),,,,07-11-2025 14:01:04,07-11-2025 14:01:04,0.008s,PASSED
Thread.sleep(2000),,,,07-11-2025 14:01:04,07-11-2025 14:01:06,2.012s,PASSED
"startExistingApplication(""com.samsung.android.soundassistant"")",,,,07-11-2025 14:01:06,07-11-2025 14:01:09,3.019s,PASSED
Thread.sleep(2000),,,,07-11-2025 14:01:09,07-11-2025 14:01:11,2.006s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.TextView - Customize volume panel""), 0)",,,,07-11-2025 14:01:11,07-11-2025 14:01:12,0.487s,PASSED
"currentStatus = getText(findTestObject(""Object Repository/Extensions/android.widget.TextView - Off""), 0)",,,,07-11-2025 14:01:12,07-11-2025 14:01:13,1.155s,PASSED
"if (currentStatus == ""Off"")",,,,07-11-2025 14:01:13,07-11-2025 14:01:15,2.040s,PASSED
"newStatus = getText(findTestObject(""Object Repository/Extensions/android.widget.TextView - On""), 0)",,,,07-11-2025 14:01:15,07-11-2025 14:01:15,0.419s,PASSED
"if (newStatus == ""On"")",,,,07-11-2025 14:01:15,07-11-2025 14:01:15,0.005s,PASSED
closeApplication(),,,,07-11-2025 14:01:15,07-11-2025 14:01:16,0.966s,PASSED
,,,,,,,
Test Cases/sa_tc4,,,,07-11-2025 14:01:16,07-11-2025 14:01:46,29.282s,PASSED
"startExistingApplication(""com.samsung.android.soundassistant"")",,,,07-11-2025 14:01:17,07-11-2025 14:01:28,11.066s,PASSED
"process = getRuntime().exec(""adb shell input keyevent 187"")",,,,07-11-2025 14:01:28,07-11-2025 14:01:28,0.005s,PASSED
process.waitFor(),,,,07-11-2025 14:01:28,07-11-2025 14:01:28,0.119s,PASSED
Thread.sleep(2000),,,,07-11-2025 14:01:28,07-11-2025 14:01:30,2.008s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Close all""), 0)",,,,07-11-2025 14:01:30,07-11-2025 14:01:32,1.989s,PASSED
process.waitFor(),,,,07-11-2025 14:01:32,07-11-2025 14:01:32,0.004s,PASSED
Thread.sleep(2000),,,,07-11-2025 14:01:32,07-11-2025 14:01:34,2.015s,PASSED
"startExistingApplication(""com.samsung.android.soundassistant"")",,,,07-11-2025 14:01:34,07-11-2025 14:01:37,3.019s,PASSED
Thread.sleep(2000),,,,07-11-2025 14:01:37,07-11-2025 14:01:39,2.014s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.TextView - Customize volume panel""), 0)",,,,07-11-2025 14:01:39,07-11-2025 14:01:39,0.503s,PASSED
"isOn = waitForElementPresent(findTestObject(""Object Repository/Extensions/android.widget.TextView - On""), 2, OPTIONAL)",,,,07-11-2025 14:01:39,07-11-2025 14:01:40,0.975s,PASSED
"isOff = waitForElementPresent(findTestObject(""Object Repository/Extensions/android.widget.TextView - Off""), 2, OPTIONAL)",,,,07-11-2025 14:01:40,07-11-2025 14:01:43,2.419s,WARNING
if (isOn),,,,07-11-2025 14:01:43,07-11-2025 14:01:45,1.784s,PASSED
closeApplication(),,,,07-11-2025 14:01:45,07-11-2025 14:01:46,0.939s,PASSED
,,,,,,,
Test Cases/sa_tc5(1),,,,07-11-2025 14:01:46,07-11-2025 14:02:14,28.139s,PASSED
"startExistingApplication(""com.samsung.android.soundassistant"")",,,,07-11-2025 14:01:46,07-11-2025 14:01:53,6.669s,PASSED
"clearProcess = getRuntime().exec(""adb shell pm clear com.samsung.android.soundassistant"")",,,,07-11-2025 14:01:53,07-11-2025 14:01:53,0.009s,PASSED
clearProcess.waitFor(),,,,07-11-2025 14:01:53,07-11-2025 14:01:53,0.159s,PASSED
