Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1-10,,,,06-11-2025 10:53:23,06-11-2025 10:58:28,5m - 4.709s,PASSED
,,,,,,,
Test Cases/sa_tc0_uninstall_app,,,,06-11-2025 10:53:24,06-11-2025 10:53:25,1.263s,PASSED
"packageName = ""com.samsung.android.soundassistant""",,,,06-11-2025 10:53:24,06-11-2025 10:53:24,0.007s,PASSED
"checkCommand = ""adb shell pm list packages "" + packageName",,,,06-11-2025 10:53:24,06-11-2025 10:53:24,0.020s,PASSED
checkProcess = getRuntime().exec(checkCommand),,,,06-11-2025 10:53:24,06-11-2025 10:53:25,0.036s,PASSED
checkProcess.waitFor(),,,,06-11-2025 10:53:25,06-11-2025 10:53:25,0.145s,PASSED
checkResult = text,,,,06-11-2025 10:53:25,06-11-2025 10:53:25,0.026s,PASSED
if (checkResult.contains(packageName)),,,,06-11-2025 10:53:25,06-11-2025 10:53:25,0.355s,PASSED
,,,,,,,
Test Cases/sa_tc1,,,,06-11-2025 10:53:25,06-11-2025 10:54:16,50.737s,PASSED
"startExistingApplication(""com.samsung.android.goodlock"")",,,,06-11-2025 10:53:25,06-11-2025 10:53:39,13.363s,PASSED
Thread.sleep(2000),,,,06-11-2025 10:53:39,06-11-2025 10:53:41,2.172s,PASSED
"process = getRuntime().exec(""adb shell input keyevent 187"")",,,,06-11-2025 10:53:41,06-11-2025 10:53:41,0.015s,PASSED
process.waitFor(),,,,06-11-2025 10:53:41,06-11-2025 10:53:41,0.176s,PASSED
Thread.sleep(2000),,,,06-11-2025 10:53:41,06-11-2025 10:53:43,2.019s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Close all""), 0)",,,,06-11-2025 10:53:43,06-11-2025 10:53:45,1.924s,PASSED
process.waitFor(),,,,06-11-2025 10:53:45,06-11-2025 10:53:45,0.010s,PASSED
Thread.sleep(2000),,,,06-11-2025 10:53:45,06-11-2025 10:53:47,2.010s,PASSED
"startExistingApplication(""com.samsung.android.goodlock"")",,,,06-11-2025 10:53:47,06-11-2025 10:53:50,3.056s,PASSED
Thread.sleep(5000),,,,06-11-2025 10:53:50,06-11-2025 10:53:55,5.018s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Plugins (1)""), 2000)",,,,06-11-2025 10:53:55,06-11-2025 10:53:57,1.606s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.TextView - Extensions""), 2000)",,,,06-11-2025 10:53:57,06-11-2025 10:53:58,1.069s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.TextView - Sound Assistant""), 2000)",,,,06-11-2025 10:53:58,06-11-2025 10:53:59,1.037s,PASSED
"swipe(341, 2000, 341, 300)",,,,06-11-2025 10:53:59,06-11-2025 10:53:59,0.656s,PASSED
"swipe(540, 430, 540, 1900)",,,,06-11-2025 10:53:59,06-11-2025 10:54:00,0.627s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - download""), 2000)",,,,06-11-2025 10:54:00,06-11-2025 10:54:01,0.405s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Extensions/android.widget.Button - play""), 120)",,,,06-11-2025 10:54:01,06-11-2025 10:54:13,12.082s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - play""), 2000)",,,,06-11-2025 10:54:13,06-11-2025 10:54:13,0.403s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - Continue""), 2000)",,,,06-11-2025 10:54:13,06-11-2025 10:54:15,2.441s,PASSED
"tap(findTestObject(""Object Repository/Extensions/android.widget.Button - Allow""), 2000)",,,,06-11-2025 10:54:15,06-11-2025 10:54:16,0.386s,PASSED
,,,,,,,
Test Cases/sa_tc2,,,,06-11-2025 10:54:16,06-11-2025 10:54:57,41.494s,PASSED
"startExistingApplication(""com.samsung.android.goodlock"")",,,,06-11-2025 10:54:16,06-11-2025 10:54:19,3.136s,PASSED
Thread.sleep(2000),,,,06-11-2025 10:54:19,06-11-2025 10:54:21,2.007s,PASSED
"process = getRuntime().exec(""adb shell input keyevent 187"")",,,,06-11-2025 10:54:21,06-11-2025 10:54:21,0.013s,PASSED
process.waitFor(),,,,06-11-2025 10:54:21,06-11-2025 10:54:22,0.144s,PASSED
Thread.sleep(2000),,,,06-11-2025 10:54:22,06-11-2025 10:54:24,2.015s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Close all""), 0)",,,,06-11-2025 10:54:24,06-11-2025 10:54:25,1.632s,PASSED
process.waitFor(),,,,06-11-2025 10:54:25,06-11-2025 10:54:25,0.003s,PASSED
Thread.sleep(2000),,,,06-11-2025 10:54:25,06-11-2025 10:54:27,2.003s,PASSED
"startExistingApplication(""com.samsung.android.goodlock"")",,,,06-11-2025 10:54:27,06-11-2025 10:54:30,3.120s,PASSED
Thread.sleep(5000),,,,06-11-2025 10:54:30,06-11-2025 10:54:35,5.016s,PASSED
